year	school_view	student_view
2005	1475	641685
2006	1566	646634
2007	1569	666225
2008	1560	670030
2009	1564	675693
2010	1577	673128
2011	1571	681643
2012	1583	685167
2013	1623	683957
2014	1579	688640
