year	Qualify	Do-not Qualify
2005	336287	641685
2006	331361	646634
2007	340413	666225
2008	345926	670030
2009	369843	675693
2010	380773	673128
2011	368355	681643
2012	377082	685167
2013	366058	683957
2014	391714	688640
