year	Urban	Suburban	Rural	Town

2006	263	195	756	351
2007	264	191	747	367
2008	267	188	759	346
2009	264	197	752	351
2010	276	192	751	358
2011	272	188	748	363
2012	283	222	662	416
2013	289	223	669	442

