year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	4190	0	2721	33859	0	224794
2006	4297	0	2950	36290	0	229236
2007	4399	0	3256	38511	0	232131
2008	4616	5036	3642	39353	0	234205
2009	4744	5226	3412	42266	0	235180
2010	3912	4799	2922	44665	4385	224930
2011	3810	4911	2943	46326	4958	227361
2012	3656	4932	2948	48405	5641	229471
2013	3787	5206	3267	52065	6167	237505
2014	3730	4828	2961	51846	6679	235275
