year	Qualify	Do-not Qualify
2005	99764	269886
2006	100440	277336
2007	102185	283147
2008	110507	286931
2009	120709	290828
2010	126429	285613
2011	138113	290781
2012	139070	295053
2013	143905	307997
2014	145514	305319
