year	school_view	student_view
2005	2641	1185051
2006	2612	1158963
2007	2648	1186725
2008	2740	1191029
2009	2876	1192672
2010	2940	1193421
2011	2995	1214136
2012	2959	1235982
2013	3035	1289957
2014	2966	1276114
