year	CMO	EMO	Freestanding
2005	0	2	16
2006	2	0	16
2007	162	154	594
2008	206	182	560
2009	199	194	622
2010	197	232	586
2011	221	226	615
2012	0	0	20
2013	2	0	18
2014	190	345	570
