year	Qualify	Do-not Qualify
2005	527305	1185051
2006	464058	1158963
2007	447070	1186725
2008	558213	1191029
2009	557170	1192672
2010	531215	1193421
2011	567537	1214136
2012	587830	1235982
2013	631806	1289957
2014	471407	1276114
