year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	72472	0	62894	456055	0	564388
2006	64318	0	63686	468360	0	532081
2007	63459	0	67435	486208	0	536087
2008	63846	35871	70277	485506	0	535529
2009	63002	37620	72951	486364	0	532735
2010	58760	36866	67961	495371	15078	519385
2011	58723	38431	66680	509365	20081	520538
2012	57319	39759	66319	523642	24859	523882
2013	57069	42242	68100	552973	30084	539210
2014	56293	42045	67911	555244	31916	522705
