year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	5729	0	266514	20474	0	439215
2006	5944	0	265871	23357	0	438204
2007	6026	0	265667	26163	0	437429
2008	6175	8903	261912	29099	0	436908
2009	6104	9385	261014	31792	0	437426
2010	5942	9421	254166	32393	2312	428661
2011	6091	10062	248587	34199	6098	426688
2012	6136	10390	252375	37681	8849	429117
2013	6140	10569	249905	40667	11643	424069
2014	6338	10804	247349	45689	15162	418822
