year	school_view	student_view
2005	1606	741547
2006	1611	743469
2007	1630	743778
2008	1622	742997
2009	1628	748836
2010	1615	732895
2011	1621	731725
2012	1637	744548
2013	1640	742993
2014	1659	744164
