year	Urban	Suburban	Rural	Town

2006	392	205	790	222
2007	387	217	796	230
2008	388	222	781	231
2009	392	215	784	237
2010	381	221	782	231
2011	379	219	795	228
2012	416	288	695	238
2013	415	276	709	240

