year	Qualify	Do-not Qualify
2005	383219	741547
2006	379537	743469
2007	377454	743778
2008	389252	742997
2009	411067	748836
2010	402386	732895
2011	420447	731725
2012	432221	744548
2013	434089	742993
2014	384985	744164
