year	CMO	EMO	Freestanding
2005	0	0	0
2006	0	0	0
2007	8	0	449
2008	10	0	428
2009	11	0	404
2010	9	0	404
2011	10	0	461
2012	0	0	0
2013	0	0	0
2014	16	10	459
