year	Qualify	Non-Qualify
2005	23033	36212
2006	31556	32234
2007	37940	36570
2008	37644	37241
2009	41480	36358
2010	42788	36010
2011	47777	38698
2012	49166	42491
2013	53379	43999
2014	50456	41653
