year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	634	2558	21614	8253	0	26186	59245
2006	706	3105	21511	9282	0	29186	63790
2007	807	3619	23407	10454	0	36223	74510
2008	749	3741	22714	10774	0	36907	74885
2009	762	3893	21438	12151	0	39594	77838
2010	663	4154	21216	12975	885	38878	78798
2011	709	4738	24034	13782	1239	41929	86475
2012	746	4946	23476	14326	1726	46370	91657
2013	725	6215	25995	15006	1932	47450	97378
2014	710	5056	24798	15158	1897	44411	92109
