year	Qualify	Do-not Qualify
2005	45694	127503
2006	47612	129830
2007	46634	131086
2008	51778	132594
2009	61840	133982
2010	65167	138460
2011	66655	139268
2012	71176	139219
2013	56099	142603
2014	53837	146032
