year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	435	0	42014	11272	0	70064
2006	473	0	43619	12166	0	69592
2007	454	0	44006	13076	0	69181
2008	478	4716	44432	13947	0	69021
2009	470	4932	45182	14483	0	68915
2010	683	5012	45481	16386	1958	68940
2011	673	5134	44947	17548	2462	68504
2012	631	5276	44625	18647	2913	67127
2013	628	5491	45396	20017	3478	67593
2014	612	5735	46611	21576	3961	67537
