year	school_view	student_view
2005	2600	2000000
2006	2700	2000000
2007	2800	2000000
2008	2900	2500000
2009	3000	2500000
2010	3462	2500000
2011	4000	2500000
2012	4500	2500000
2013	5001	2500000
2014	5262	2500000
