year	Qualify	Do-not Qualify
2005	605199	1443877
2006	630105	1472668
2007	460875	1490642
2008	499248	1493587
2009	729154	1516327
2010	756183	1530334
2011	797790	1545037
2012	824312	1557694
2013	821782	1579270
2014	899669	1605520
