year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	740	840	19060	1912	0	32330	54882
2006	774	1074	17308	2176	0	34068	56906
2007	810	1158	21828	2726	0	38692	65214
2008	794	1380	22672	2992	0	43666	71504
2009	844	1756	24158	3278	0	47910	77946
2010	886	1662	22592	4688	2414	51988	84282
2011	878	2042	24260	5328	3050	55372	90992
2012	930	2494	26430	6354	2980	60744	100002
2013	1056	3432	29888	7668	4154	70078	116390
2014	1176	4578	37044	10726	4404	81980	140158
