year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	36302	0	6342	5835	0	80035
2006	36151	0	6266	6047	0	79368
2007	32000	0	5063	7754	0	73490
2008	31041	9658	4721	7914	9521	73014
2009	31064	10666	5098	7963	8504	73578
2010	31300	10722	4916	8074	9957	72886
2011	31693	11157	4860	8430	10283	70515
2012	31846	11386	4799	8704	10884	69717
2013	32330	11500	4578	8907	11383	68364
2014	31980	11713	4469	9013	12592	67626
