year	Qualify	Do-not Qualify
2005	42355	137952
2006	45502	137251
2007	44558	135801
2008	45159	135869
2009	48257	137026
2010	51473	137855
2011	54045	137088
2012	53887	137336
2013	57207	137062
2014	57586	137393
