year	school_view	student_view
2005	4801	2859748
2006	4836	2834390
2007	4866	2796398
2008	4838	2775275
2009	4912	2760074
2010	4975	2788321
2011	5005	2763216
2012	5036	2789733
2013	5145	2813937
2014	5136	2829508
