year	Qualify	Do-not Qualify
2005	1277184	2859748
2006	1248313	2834390
2007	1243124	2796398
2008	1250797	2775275
2009	603274	2760074
2010	1357747	2788321
2011	1378924	2763216
2012	1359566	2789733
2013	1424018	2813937
2014	1467960	2829508
