year	school_view	student_view
2005	4162	2767359
2006	4479	2770987
2007	4584	2772034
2008	4625	2748735
2009	4666	2772409
2010	4749	2797461
2011	4946	2848851
2012	4970	2896388
2013	5039	2950912
2014	5169	3008186
