year	CMO	EMO	Freestanding
2005	0	0	10
2006	0	0	10
2007	88	18	614
2008	260	24	508
2009	280	24	518
2010	290	26	604
2011	330	16	686
2012	0	0	14
2013	0	0	16
2014	536	66	702
