year	Qualify	Do-not Qualify
2005	1257753	2767359
2006	1242458	2770987
2007	1251952	2772034
2008	1349805	2748735
2009	1466788	2772409
2010	1549606	2797461
2011	1621254	2848851
2012	1675101	2896388
2013	1702787	2950912
2014	1719670	3008186
