year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	616	352	514	810	0	11696	13988
2006	840	451	718	1356	0	17872	22667
2007	933	590	785	1682	0	20745	26661
2008	853	741	859	2053	0	24661	31426
2009	956	800	894	3236	0	30325	38492
2010	1128	686	1001	3950	1639	33452	42015
2011	1262	824	942	4473	2291	38866	49131
2012	1227	997	1039	5194	2671	43423	54762
2013	1369	1110	1000	5877	3099	45009	57683
2014	1190	1114	1035	6560	3585	46597	60282
