year	Qualify	Non-Qualify
2005	4726	9262
2006	7342	15325
2007	6620	20041
2008	7166	24260
2009	7337	31155
2010	7910	34105
2011	11967	37164
2012	11842	42920
2013	14674	43009
2014	14079	46203
