year	CMO	EMO	Freestanding
2005	0	0	0
2006	0	0	0
2007	2	12	149
2008	2	12	160
2009	2	12	189
2010	4	12	201
2011	4	12	214
2012	0	0	0
2013	0	0	0
2014	8	12	230
