year	Qualify	Non-Qualify
2005	5561	2691
2006	6963	2511
2007	7539	3437
2008	8341	3019
2009	8557	4388
2010	8875	4633
2011	10503	8272
2012	11240	8352
2013	12840	2969
2014	13328	3594
