year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	414	172	3162	1898	0	2606	8252
2006	447	258	3931	2365	0	2473	9474
2007	467	297	3882	3042	0	3288	10976
2008	520	342	4117	3557	0	2824	11360
2009	613	296	4481	4365	0	3190	12945
2010	513	242	3702	4893	100	3142	13508
2011	1202	288	4881	5696	507	6176	18775
2012	1282	276	4786	6008	594	6608	19592
2013	703	234	5453	6361	438	2604	15809
2014	638	262	5544	7150	518	2802	16922
