year	CMO	EMO	Freestanding
2005	0	0	0
2006	0	0	0
2007	0	2	28
2008	0	2	31
2009	0	2	34
2010	0	2	34
2011	2	10	30
2012	0	0	0
2013	0	0	0
2014	3	14	33
