year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	2	4	132	2	0	280	420
2006	4	0	164	6	0	298	472
2007	6	2	172	12	0	286	480
2008	6	6	166	20	0	300	500
2009	8	6	42	16	0	284	358
2010	4	10	206	28	32	416	696
2011	0	10	252	26	30	468	786
2012	4	10	256	36	40	452	798
2013	6	24	468	76	50	580	1206
2014	8	62	694	136	66	798	1766
