year	CMO	EMO	Freestanding
2005	0	0	0
2006	0	0	0
2007	0	0	6
2008	0	0	8
2009	0	0	6
2010	0	0	8
2011	0	0	8
2012	0	0	0
2013	0	0	0
2014	0	0	14
