year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	119	0	78559	10365	0	3758
2006	54	0	74407	8581	0	4046
2007	78	0	82696	9304	0	4780
2008	70	1268	77328	9297	0	4794
2009	53	1280	77908	10106	0	5385
2010	69	1178	79063	11572	856	5918
2011	80	1342	80405	12801	1036	6709
2012	133	1364	81831	13532	1548	7636
2013	139	1481	83791	14836	1619	8370
2014	333	1552	86172	16306	1980	9647
