year	CMO	EMO	Freestanding
2005	0	0	2
2006	0	0	2
2007	10	38	103
2008	12	40	132
2009	14	48	127
2010	14	72	107
2011	16	70	116
2012	0	0	5
2013	0	0	5
2014	4	97	117
