year	Qualify	Do-not Qualify
2005	45636	93985
2006	45178	88413
2007	45892	98146
2008	61570	93150
2009	66096	94786
2010	71516	98656
2011	66034	102373
2012	68941	107188
2013	109554	110508
2014	104063	119377
