year	Qualify	Do-not Qualify
2005	786554	2118196
2006	794551	2124158
2007	810424	2117703
2008	834776	2123434
2009	904252	2097889
2010	924731	2083941
2011	1014896	2076045
2012	1032029	2067173
2013	1064257	2063605
2014	1107545	2047235
