year	school_view	student_view
2005	4557	2118196
2006	4483	2124158
2007	4500	2117703
2008	4477	2123434
2009	4480	2097889
2010	4479	2083941
2011	4443	2076045
2012	4417	2067173
2013	4354	2063605
2014	4309	2047235
