year	CMO	EMO	Freestanding
2005	2	0	4
2006	0	0	4
2007	180	98	368
2008	220	110	322
2009	214	106	323
2010	212	127	340
2011	218	129	363
2012	4	0	4
2013	2	0	10
2014	214	169	382
