year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	316	538	72150	3700	0	55310	137088
2006	384	689	78218	4461	0	61322	151350
2007	430	870	81485	5166	0	67642	162839
2008	384	3644	83098	6122	0	71470	173648
2009	472	1990	84664	7216	0	77657	182068
2010	502	1573	88296	9862	9102	84133	193562
2011	509	1602	96773	11771	10293	93384	214461
2012	532	1695	104505	14291	11142	97584	229895
2013	525	1737	110636	15274	12341	101216	241938
2014	566	1899	112691	16541	15878	97629	245396
