year	Qualify	Non-Qualify
2005	52002	85086
2006	65334	86016
2007	0	162839
2008	83264	90384
2009	92290	89778
2010	93235	100327
2011	105438	109023
2012	111881	118014
2013	113055	128883
2014	114979	130417
