year	Qualify	Do-not Qualify
2005	181626	468180
2006	183595	462180
2007	187900	471659
2008	203298	475404
2009	215855	474148
2010	229971	484727
2011	236079	484641
2012	241551	487078
2013	246600	493967
2014	245510	493619
