year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	6749	0	39211	55265	0	343712
2006	7617	0	40757	58744	0	339177
2007	7733	0	41643	63031	0	342559
2008	7397	12867	40962	65100	0	339487
2009	5841	11865	35747	74069	18762	327864
2010	6183	12748	35768	78977	20564	330487
2011	5468	13045	35187	82667	20921	327353
2012	5048	13143	34399	84813	22081	323384
2013	4871	13922	34671	89090	23021	324016
2014	4790	14183	34675	92762	23724	323485
