year	school_view	student_view
2005	1445	468180
2006	1481	462180
2007	1492	471659
2008	1486	475404
2009	1505	474148
2010	1518	484727
2011	1413	484641
2012	1382	487078
2013	1371	493967
2014	1363	493619
