year	Qualify	Do-not Qualify
2005	366899	926822
2006	367406	930784
2007	364182	920026
2008	356904	920903
2009	403362	919366
2010	407463	919071
2011	412168	917946
2012	408986	918298
2013	457012	919459
2014	481307	930060
