year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	3705	0	174847	29552	0	704023
2006	3836	0	175465	32376	0	703472
2007	3987	0	166099	34425	0	699055
2008	4090	17170	165317	35913	0	698413
2009	4330	18197	163872	37780	0	695187
2010	4367	18229	156669	41800	11538	686468
2011	4192	18903	154002	44131	15197	681074
2012	4096	19108	152570	46822	18947	676755
2013	4003	19651	152104	48720	22374	672607
2014	3824	19665	158594	51549	26915	669513
