year	school_view	student_view
2005	2397	926822
2006	2430	930784
2007	2451	920026
2008	2458	920903
2009	2469	919366
2010	2471	919071
2011	2445	917946
2012	2438	918298
2013	2433	919459
2014	2463	930060
