year	school_view	student_view
2005	1187	477259
2006	1179	479219
2007	1152	481431
2008	1166	482736
2009	1164	485040
2010	1149	486999
2011	1136	488484
2012	1144	492352
2013	1148	497564
2014	1154	501424
