year	Qualify	Do-not Qualify
2005	252521	477259
2006	281469	479219
2007	271045	481431
2008	275805	482736
2009	289228	485040
2010	294757	486999
2011	297591	488484
2012	302147	492352
2013	304262	497564
2014	312918	501424
