year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	3101	0	110219	32199	0	325170
2006	3286	0	109266	35975	0	323580
2007	3437	0	108981	38911	0	322693
2008	3469	7712	108926	41260	0	321369
2009	3416	8789	106474	44656	5151	316554
2010	3410	9000	105484	47645	6538	314922
2011	3273	9310	104275	49789	7899	313938
2012	3357	9906	103762	51740	9104	314116
2013	3154	10305	105481	55588	9808	312907
2014	3164	10751	106860	59094	10003	311552
