year	CMO	EMO	Freestanding
2005	1323963	868888	5814093
2006	1511049	1110487	6457487
2007	1684861	1330825	6954906
2008	1949347	1615635	7614759
2009	2211190	1929721	8246599
2010	2403271	2274823	8884461
2011	2677907	2610624	9496490
2012	2692830	2070519	8613974
2013	2692830	2070519	8613974
2014	2692830	2070519	8613974
