year	Qualify	Do-not Qualify
2005	15880864	33811591
2006	16935379	32806311
2007	16600505	32944607
2008	18043104	31665491
2009	19113531	30531390
2010	20599798	29153555
2011	18380785	31388300
2012	16078321	20479631
2013	16078321	20479631
2014	16078321	20479631
