year	Qualify	Do-not Qualify
2005	154542	577985
2006	158860	578093
2007	170822	572148
2008	172443	566556
2009	183398	569694
2010	194846	566070
2011	200171	561561
2012	207703	558687
2013	209233	554876
2014	212041	552581
