year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	2075	0	80538	89260	0	385651
2006	2138	0	81750	92819	0	380063
2007	2105	0	80769	95063	0	371878
2008	2140	23435	80917	97427	0	362637
2009	2181	24629	82207	100614	0	360063
2010	2117	24439	77411	105714	8031	348358
2011	1942	24969	77129	109662	9950	337909
2012	1713	25759	76395	114435	11756	328629
2013	1517	26085	76118	118125	13113	319918
2014	1528	26748	76095	122802	13851	311557
