year	school_view	student_view
2005	1134	577985
2006	1142	578093
2007	1152	572148
2008	1183	566556
2009	1198	569694
2010	1204	566070
2011	1195	561561
2012	1188	558687
2013	1186	554876
2014	1334	552581
