year	CMO	EMO	Freestanding
2005	0	0	350
2006	0	0	348
2007	22	188	1169
2008	28	208	1258
2009	28	210	1375
2010	42	439	1349
2011	46	429	1489
2012	6	0	319
2013	6	0	309
2014	120	753	1488
