year	school_view	student_view
2005	10523	6510513
2006	10704	6506171
2007	10889	6311985
2008	10988	6525541
2009	11095	6480257
2010	11255	6571479
2011	11331	6615573
2012	11588	6683046
2013	11590	6738258
2014	11688	6766707
