year	Qualify	Do-not Qualify
2005	3129702	6510513
2006	3204776	6506171
2007	3193799	6311985
2008	3383539	6525541
2009	3523814	6480257
2010	3497580	6571479
2011	1654565	6615573
2012	3747968	6683046
2013	3899068	6738258
2014	3958274	6766707
