year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	3519	0	330385	65783	0	418714
2006	3425	0	328416	71239	0	407593
2007	3324	0	326485	76635	0	398637
2008	3345	49839	328662	80899	0	390865
2009	3710	52252	330719	85687	0	387211
2010	3081	50060	317041	99084	29713	367715
2011	3027	51431	315226	104399	31691	364875
2012	2760	52621	316060	111502	33501	361454
2013	2634	54105	316650	119359	35537	357164
2014	2658	55557	317616	129501	37075	351978
