year	CMO	EMO	Freestanding
2005	0	0	2
2006	0	0	2
2007	4	2	54
2008	6	12	50
2009	6	14	52
2010	8	22	58
2011	10	20	68
2012	0	0	2
2013	0	0	2
2014	0	26	76
