year	school_view	student_view
2005	1461	863383
2006	1477	856711
2007	1496	852849
2008	1504	853610
2009	1511	859579
2010	1501	866694
2011	1509	870649
2012	1506	877898
2013	1504	885449
2014	1499	894385
